ФИО,Группа крови,Любимая еда,Наличие публикаций,Наличие золотой медали,Участие в олимпиадах НИУ ВШЭ,Мотивационное письмо,Мечта,Участие в подготовительных курсах НИУ ВШЭ,Частота прогулок,Участие во всероссийских олимпиадах,Хобби,Средний балл ЕГЭ,Участие в волонтерской деятельности,Средний балл аттестата,Любимый цвет,Наличие питомца,Target
Григорьев Константин Ильич,II,Бургер,Да,Да,Нет,0,Путешествия,Да,Ежедневно,Да,Чтение,89,Нет,4.760176925237057,Зеленый,Да,1
Борисов Илья Антонович,II,Бургер,Нет,Да,Да,5,Карьерный рост,Да,Несколько раз в неделю,Да,Музыка,71,Нет,4.068138836443007,Зеленый,Да,1
Новикова Елена Николаевна,I,Бургер,Нет,Да,Да,4,Путешествия,Да,Редко,Да,Чтение,40,Да,4.08572498449601,Желтый,Да,1
Зайцев Георгий Вячеславович,II,Бургер,Нет,Да,Нет,0,Наука,Нет,Ежедневно,Нет,Спортивные игры,50,Да,4.92010879829221,Черный,Нет,0
Сидорова Екатерина Романовна,I,Роллы,Да,Да,Нет,4,Бизнес,Да,Несколько раз в неделю,Нет,Кино,50,Нет,4.669841367247358,Зеленый,Нет,0
Петрова Алёна Павловна,III,Бургер,Нет,Нет,Да,3,Наука,Нет,Редко,Да,Спортивные игры,50,Нет,4.181423896157492,Красный,Да,0
Новикова Надежда Алексеевна,II,Пицца,Нет,Нет,Нет,0,Наука,Да,Несколько раз в неделю,Да,Чтение,60,Да,4.828906349491338,Черный,Нет,0
Волков Иван Юрьевич,II,Салат,Да,Да,Нет,4,Карьерный рост,Да,Несколько раз в неделю,Нет,Спортивные игры,72,Да,4.660278262795401,Красный,Нет,1
Борисов Артур Егорович,II,Роллы,Нет,Да,Да,2,Путешествия,Да,Несколько раз в неделю,Нет,Туризм,84,-,4.119282603893021,Желтый,Нет,1
Кузнецова Виктория Юрьевна,III,Пицца,Да,Да,Да,3,Путешествия,Да,Редко,Нет,Кино,83,Нет,4.5306818245251375,Синий,Нет,1
Волков Дмитрий Владимирович,IV,Суши,Да,-,Да,0,Карьерный рост,Да,Ежедневно,-,Туризм,89,Да,4.015895739040889,Красный,Да,1
Соловьев Максим Викторович,IV,Бургер,Нет,Да,-,0,Карьерный рост,Нет,Несколько раз в неделю,Да,Кино,82,-,4.159946822076489,Красный,Нет,0
Борисова Полина Алексеевна,III,Пицца,Нет,-,Да,4,Семья,-,Несколько раз в неделю,Нет,Кино,41,Нет,4.725016619771674,Черный,Да,0
Сидорова Алиса Викторовна,III,Роллы,Да,Нет,-,3,Карьерный рост,Да,Редко,Да,Кино,98,Да,4.602023069271351,Черный,Да,1
Григорьев Андрей Алексеевич,I,Роллы,Нет,Нет,-,2,Семья,Да,Несколько раз в неделю,Да,Спортивные игры,94,Нет,4.416740808750687,Черный,Нет,1
Иванова Ольга Максимовна,IV,Пицца,Да,Нет,Да,0,Бизнес,Да,Ежедневно,Нет,Музыка,86,Нет,4.896680849389338,Зеленый,Да,1
Попова Зоя Юрьевна,IV,Суши,Нет,Да,Нет,2,Семья,Да,Ежедневно,Нет,Музыка,40,Да,4.155404565716398,Черный,Нет,0
Козлова Юлия Артуровна,III,Роллы,Нет,Да,Нет,2,Бизнес,Нет,Редко,Нет,Музыка,46,Да,4.347341227323559,Синий,Нет,0
Кузнецова Дарья Владимировна,IV,Суши,Нет,Нет,Нет,5,Карьерный рост,Нет,Ежедневно,Нет,Музыка,81,Нет,4.110466635582216,Красный,Да,0
Волков Владимир Алексеевич,II,Салат,Да,Да,Нет,3,Карьерный рост,Да,Ежедневно,Нет,Спортивные игры,52,Нет,4.202406039829922,Синий,Да,0
Зайцев Илья Николаевич,III,Салат,Нет,Нет,Да,5,Путешествия,Нет,Несколько раз в неделю,Да,Туризм,50,Да,4.037540948190689,Желтый,Нет,1
Сидоров Антон Юрьевич,I,Суши,Нет,Нет,Нет,1,Путешествия,Да,Ежедневно,Да,Музыка,53,Да,4.399060746384287,Желтый,Да,0
Петрова Ксения Дмитриевна,II,Бургер,Да,Нет,-,2,Наука,Да,Редко,Нет,Спортивные игры,46,Да,4.1495003760168165,Черный,Нет,0
Кузнецова Людмила Егоровна,I,Суши,Да,-,Да,2,Карьерный рост,Нет,Ежедневно,Да,Спортивные игры,96,Да,4.867149311957141,Синий,Да,1
Петров Олег Юрьевич,III,Роллы,-,Да,Да,3,Карьерный рост,Да,Редко,-,Чтение,47,Да,4.765699266274327,Желтый,Да,1
Зайцев Константин Иванович,IV,Бургер,Нет,Нет,Да,2,Бизнес,Да,Ежедневно,Да,Чтение,45,Нет,4.018516514095888,Зеленый,Нет,1
Смирнова Надежда Павловна,II,Бургер,Да,Да,Да,5,Бизнес,-,Несколько раз в неделю,Нет,Музыка,71,Нет,4.967438039459852,Красный,Нет,1
Новиков Виктор Олегович,IV,Салат,Да,Да,Да,2,Путешествия,Да,Редко,-,Спортивные игры,80,Нет,4.317605755296358,Красный,Да,1
Козлов Юрий Иванович,IV,Бургер,Нет,Да,Нет,5,Путешествия,Нет,Несколько раз в неделю,Да,Чтение,46,Нет,4.57263513584476,Красный,Да,0
Романова Екатерина Николаевна,I,Пицца,Да,Да,Да,3,Бизнес,-,Редко,Нет,Туризм,98,Да,4.005109429834364,Желтый,Нет,1
Соловьев Константин Викторович,III,Салат,Нет,Нет,-,2,Семья,Да,Ежедневно,Да,Кино,95,Да,4.391451717208658,Черный,Да,1
Морозов Вячеслав Константинович,II,Суши,Да,Да,Да,3,Карьерный рост,Да,Редко,Да,Кино,77,Нет,4.061734142971804,Желтый,Да,1
Борисова Ирина Алексеевна,IV,Пицца,Да,Да,Нет,2,Наука,Да,Несколько раз в неделю,Нет,Чтение,80,Нет,4.381000505868389,Черный,Да,0
Зайцев Георгий Антонович,III,Суши,Нет,Да,Да,5,Наука,Нет,Ежедневно,Нет,Спортивные игры,62,Да,4.225535251663638,Желтый,Нет,1
Козлова Алиса Дмитриевна,II,Пицца,Нет,Да,-,5,Наука,Нет,Ежедневно,Да,Чтение,44,Да,4.904253924031903,Желтый,Нет,0
Иванова Вероника Дмитриевна,I,Роллы,Нет,-,Да,5,Бизнес,Нет,Ежедневно,Нет,Туризм,93,Да,4.520151757748446,Зеленый,Да,1
Новикова Дарья Артуровна,II,Бургер,Нет,Нет,-,1,Семья,Да,Ежедневно,Нет,Кино,99,Да,4.447240009072475,Синий,Да,0
Морозова Вероника Антоновна,II,Салат,Да,Нет,Нет,2,Бизнес,Да,Редко,Нет,Туризм,41,Нет,4.367517666072359,Красный,Нет,0
Кузнецов Алексей Алексеевич,III,Бургер,Да,Нет,Нет,3,Путешествия,Да,Несколько раз в неделю,Нет,Туризм,91,Да,4.615102262352086,Синий,Нет,0
Лебедева Валерия Антоновна,I,Бургер,Да,Нет,-,4,Путешествия,Нет,Редко,Нет,Музыка,84,Да,4.5972577312482255,Желтый,Нет,0
Соловьев Павел Олегович,IV,Суши,Да,Да,Нет,0,Бизнес,-,Несколько раз в неделю,Да,Музыка,81,Да,4.774282933413844,Красный,Нет,1
Петрова Людмила Георгиевна,I,Салат,Да,Нет,Нет,2,Путешествия,Нет,Несколько раз в неделю,Нет,Кино,45,Нет,4.303870217515078,Зеленый,Да,0
Соловьева Анастасия Андреевна,I,Бургер,Да,Нет,Нет,2,Карьерный рост,-,Ежедневно,Да,Туризм,73,-,4.067990894869457,Желтый,Да,1
Борисова Алиса Сергеевна,III,Бургер,Нет,Нет,Да,1,Семья,Нет,Несколько раз в неделю,Нет,Туризм,95,Нет,4.315992575524636,Красный,Да,0
Новиков Павел Антонович,II,Роллы,Нет,Нет,Да,3,Бизнес,Да,Редко,Да,Туризм,87,Да,4.367496520685728,Желтый,Нет,1
Смирнова Людмила Николаевна,IV,Бургер,Да,Да,Да,0,Карьерный рост,Да,Несколько раз в неделю,Нет,Спортивные игры,96,Да,4.193486482242579,Желтый,Да,1
Смирнова Мария Константиновна,IV,Пицца,Да,-,Нет,2,Путешествия,Нет,Несколько раз в неделю,Нет,Чтение,71,Да,4.414666214123435,Зеленый,Да,0
Волкова Алёна Владимировна,II,Роллы,Нет,Да,Нет,2,Семья,Нет,Ежедневно,Нет,Спортивные игры,72,Да,4.432494099052888,Синий,Да,0
Федорова Екатерина Георгиевна,I,Роллы,-,-,Нет,3,Наука,Нет,Редко,Да,Кино,41,Да,4.12336000082971,Зеленый,Нет,0
Михайлов Алексей Дмитриевич,II,Суши,Да,Нет,Да,5,Карьерный рост,Нет,Редко,Да,Спортивные игры,66,Да,4.729105620148393,Черный,Нет,1
Зайцева Вероника Георгиевна,III,Бургер,Да,Да,Нет,1,Семья,Да,Несколько раз в неделю,Да,Туризм,82,Да,4.8787534615165935,Синий,Да,1
Федоров Антон Владимирович,IV,Салат,Да,Да,Да,1,Бизнес,Нет,Несколько раз в неделю,Да,Кино,50,Нет,4.9941238143302105,Желтый,Нет,1
Сидоров Вячеслав Вячеславович,II,Суши,Нет,Да,Да,4,Карьерный рост,Нет,Ежедневно,Да,Чтение,94,-,4.462914379023561,Красный,Да,1
Козлов Максим Иванович,IV,Пицца,Да,Нет,Да,1,Путешествия,Да,Редко,Да,Кино,77,Да,4.12696679093846,Зеленый,Нет,1
Лебедева Алиса Ильинична,IV,Роллы,Нет,Нет,Нет,4,Карьерный рост,Да,Несколько раз в неделю,Да,Чтение,92,Да,4.245826853565164,Черный,Да,1
Михайлов Андрей Николаевич,II,Пицца,Да,Нет,Да,5,Путешествия,Да,Редко,Да,Кино,43,Нет,4.0977401599503525,Синий,Да,1
Иванов Андрей Николаевич,III,Пицца,Да,Да,Нет,3,Бизнес,Нет,Ежедневно,Да,Спортивные игры,67,Нет,4.781288717377702,Черный,Да,1
